Time,Wind Speed
0 sec,9.6
10 sec,2.5
20 sec,8.4
30 sec,8
40 sec,7
50 sec,0
60 sec,6.5
70 sec,1
80 sec,5.5
90 sec,5
100 sec,-0
110 sec,3.5
120 sec,8.5
130 sec,0
140 sec,5.5
150 sec,3
160 sec,0.5
170 sec,5.5
180 sec,7
190 sec,2.5
200 sec,7.5
210 sec,6
220 sec,8.2
230 sec,0.5
240 sec,1.5
250 sec,6.4
260 sec,5.5
270 sec,11
280 sec,1.5
290 sec,10
300 sec,9.5
310 sec,8
320 sec,1.5
330 sec,4.5
340 sec,4
350 sec,7.5
360 sec,9
370 sec,4.5
380 sec,5
390 sec,4.5
400 sec,7.5
410 sec,4.5
420 sec,0.5
430 sec,8.5
440 sec,2
450 sec,4.5
460 sec,7
470 sec,3.5
480 sec,4
490 sec,3
500 sec,7
510 sec,5.5
520 sec,7.5
530 sec,3.5
540 sec,4.5
550 sec,1
560 sec,4.5
570 sec,0.5
580 sec,6.5
590 sec,-0
600 sec,4
610 sec,5.5
620 sec,10.5
630 sec,9.5
640 sec,2.5
650 sec,7
660 sec,12.5
670 sec,1.5
680 sec,7
690 sec,10
700 sec,9.5
710 sec,-0
720 sec,5
730 sec,11
740 sec,4
750 sec,8
760 sec,9.5
770 sec,5.5
780 sec,4
790 sec,12.5
800 sec,5
810 sec,3.5
820 sec,8
830 sec,11.5
840 sec,6.5
850 sec,1.5
860 sec,3.5
870 sec,11.5
880 sec,2.5
890 sec,7
900 sec,5
910 sec,7.5
920 sec,4
930 sec,1.5
940 sec,7
950 sec,4
960 sec,6
970 sec,10
980 sec,5.5
990 sec,10
1000 sec,5.5
1010 sec,2.5
1020 sec,7.5
1030 sec,7.5
1040 sec,8
1050 sec,9
1060 sec,11
1070 sec,10.2
1080 sec,10
1090 sec,4.5
1100 sec,4
1110 sec,11.5
1120 sec,12.5
1130 sec,3
1140 sec,6
1150 sec,13.5
1160 sec,2.5
1170 sec,6.5
1180 sec,9.5
1190 sec,2.5
1200 sec,10
1210 sec,13.5
1220 sec,3.5
1230 sec,11
1240 sec,8.5
1250 sec,6.5
1260 sec,8.5
1270 sec,5.5
1280 sec,9
1290 sec,10.5
1300 sec,2
1310 sec,10
1320 sec,7.5
1330 sec,1.5
1340 sec,7
1350 sec,9
1360 sec,7.5
1370 sec,5.5
1380 sec,2.5
1390 sec,3.5
1400 sec,2.5
1410 sec,11.5
1420 sec,0.5
1430 sec,5.5
1440 sec,2.5
