Time,Wind Direction
0 sec,0.85
10 sec,0.85
20 sec,3.75
30 sec,1.35
40 sec,1.35
45 sec,2.45
45 sec,4.75
60 sec,-0.85
60 sec,1.25
80 sec,1.25
80 sec,3.45
135 sec,0.9
135 sec,2.7
165 sec,0.75
185 sec,2.7
200 sec,1.35
200 sec,2.15
240 sec,1.3
240 sec,0.55
265 sec,1.55
265 sec,2.35
295 sec,1.7
295 sec,2.65
320 sec,1.75
320 sec,0.6
330 sec,1.5
330 sec,1.35
350 sec,2.3
350 sec,3.4
380 sec,3.1
380 sec,2
400 sec,0.95
400 sec,2.2
415 sec,0.65
415 sec,1.7
425 sec,1.35
425 sec,2.25
440 sec,2.6
455 sec,1.5
455 sec,2.6
475 sec,1.8
475 sec,1.1
490 sec,1.75
490 sec,1.2
515 sec,1.75
515 sec,1.05
535 sec,2.05
535 sec,1.3
545 sec,1.45
545 sec,2
565 sec,-0.1
565 sec,2.5
585 sec,1.6
585 sec,0.7
600 sec,2.45
610 sec,1.8
625 sec,1.95
635 sec,-0.15
645 sec,1.5
660 sec,2.05
660 sec,1.2
674 sec,-0.15
674 sec,0.7
695 sec,1.35
695 sec,0.9
715 sec,-0.35
715 sec,0.85
745 sec,2.8
745 sec,2.05
765 sec,0.95
765 sec,3.4
780 sec,4.05
780 sec,3.35
810 sec,1.6
810 sec,-0.3
830 sec,2.75
830 sec,3.9
850 sec,1.85
850 sec,3.45
875 sec,1.2
875 sec,-0.1
900 sec,2.2
900 sec,2.45
915 sec,1.1
915 sec,1.8
935 sec,2.6
935 sec,-0.8
955 sec,0.05
955 sec,1.9
975 sec,3.45
975 sec,1.1
1005 sec,-0.45
1005 sec,1.9
1025 sec,3.45
1025 sec,1.05
1050 sec,-0.5
1050 sec,0.7
1065 sec,2.2
1075 sec,-0.15
1075 sec,-0.9
1090 sec,2.35
1090 sec,3.75
1110 sec,2.3
1110 sec,0.7
1125 sec,-0.55
1145 sec,0.7
1145 sec,-0.4
1165 sec,1
1165 sec,-0.3
1195 sec,0.9
1195 sec,3.3
1210 sec,2.65
1210 sec,0.65
1225 sec,1.9
1225 sec,3.9
1245 sec,-0.75
1245 sec,2.45
1260 sec,3.9
1260 sec,0.8
1285 sec,1.1
1285 sec,2.7
1300 sec,2.8
1315 sec,3.8
1315 sec,2.65
1340 sec,-0.45
1340 sec,1.6
1360 sec,2.85
1375 sec,0.7
1375 sec,-0.55
1385 sec,1.15
1385 sec,2.4
1400 sec,0.7
1400 sec,-0.6
1410 sec,1.95
1410 sec,3.25
1440 sec,0.7
