Time,Wind Speed
0 sec,1.2
20 sec,6.4
40 sec,12.2
45 sec,9.2
70 sec,14.2
80 sec,9.6
80 sec,8.4
85 sec,6.8
90 sec,10.6
105 sec,9
120 sec,6.8
130 sec,10.4
140 sec,10
140 sec,8.4
160 sec,6.2
160 sec,7.8
165 sec,6.2
165 sec,8.8
190 sec,13
190 sec,8.8
220 sec,5.6
220 sec,9.4
235 sec,12.6
235 sec,10.4
255 sec,10.2
255 sec,7.8
275 sec,4.2
275 sec,9.2
295 sec,12.2
295 sec,6
320 sec,4.2
320 sec,7.8
340 sec,6.6
365 sec,9.4
380 sec,7.4
400 sec,5.8
420 sec,8.8
420 sec,11.4
450 sec,3.8
450 sec,6.8
480 sec,6.8
480 sec,11.6
505 sec,10.4
520 sec,7.4
520 sec,10
540 sec,10.8
540 sec,6.4
550 sec,5.4
550 sec,5.8
575 sec,7.2
575 sec,8.6
595 sec,9.4
595 sec,13.4
625 sec,6.2
625 sec,8.4
655 sec,6.8
655 sec,9.4
680 sec,10.6
680 sec,8
695 sec,7.8
710 sec,12.2
710 sec,7.4
730 sec,9.8
730 sec,14.6
750 sec,11.6
750 sec,15.2
775 sec,8.4
775 sec,12.4
790 sec,8.6
810 sec,8.6
810 sec,11
830 sec,11
830 sec,15
855 sec,12.4
855 sec,10.8
885 sec,10
885 sec,9.8
910 sec,11.6
910 sec,13.4
920 sec,11.8
940 sec,11.2
940 sec,7.8
965 sec,10.8
965 sec,14.2
985 sec,11
985 sec,7
1010 sec,9.4
1010 sec,13.4
1035 sec,11.2
1035 sec,8.2
1070 sec,10.2
1070 sec,8
1095 sec,9.4
1095 sec,12.8
1110 sec,13.8
1110 sec,16
1125 sec,12.2
1125 sec,10
1150 sec,14
1150 sec,12.4
1200 sec,10.6
1200 sec,14.8
1220 sec,12.8
1220 sec,8.6
1235 sec,9.4
1235 sec,11.2
1250 sec,15.6
1250 sec,13.6
1275 sec,12.2
1275 sec,13.2
1295 sec,14.2
1295 sec,9.2
1315 sec,12.8
1315 sec,15
1334 sec,14.4
1334 sec,11.6
1375 sec,13.2
1375 sec,14.2
1410 sec,12.8
1420 sec,10.8
1440 sec,9
