Time,Wind Direction
0 sec,-3
50 sec,5
50 sec,-3
100 sec,5
100 sec,-3
150 sec,5
150 sec,-3
200 sec,5
200 sec,-3
250 sec,5
250 sec,-3
300 sec,5
300 sec,-3
350 sec,5
350 sec,-3
400 sec,5
400 sec,-3
450 sec,5
450 sec,-3
500 sec,5
500 sec,-3
550 sec,5
550 sec,-3
600 sec,5
600 sec,-3
650 sec,5
650 sec,-3
700 sec,5
700 sec,-3
750 sec,5
750 sec,-3
800 sec,5
800 sec,-3
850 sec,5
850 sec,-3
900 sec,5
900 sec,-3
950 sec,5
950 sec,-3
1000 sec,5
1000 sec,-3
1050 sec,5
1050 sec,-3
1100 sec,5
1100 sec,-3
1150 sec,5
1150 sec,-3
1200 sec,5
1200 sec,-3
1250 sec,5
1250 sec,-3
1300 sec,5
1300 sec,-3
1350 sec,5
1350 sec,-3
1400 sec,5
1400 sec,-3
1440 sec,3.4
