time;Wind Speed;Wind Direction
0;9.6;-0.2
5;6.05;-0.2
5;6.05;-0.2
5;6.05;-0.2
10;2.5;1.25
10;2.5;1.25
15;5.45;2.7
15;5.45;2.7
20;8.4;1.5
20;8.4;1.5
25;8.2;0.3
25;8.2;0.3
25;8.2;0.3
30;8;0.3
30;8;0.3
35;7.5;0.3
35;7.5;0.3
35;7.5;0.3
40;7;1.4
40;7;1.4
50;3.18323E-13;6.36646E-14
50;0;0
50;2.95514E-13;9.09273E-14
55;3.25;1
55;3.25;1.7
55;3.25;1.7
60;6.5;0.2
60;6.5;2
60;6.5;2
70;1;1.7
70;1;1.7
70;1;1.7
75;3.25;0.9
75;3.25;-1.3
80;5.5;-1.1
80;5.5;-1.1
90;5;-0.7
90;5;-0.7
100;4.47642E-13;-1.5
100;5.05151E-15;-1.5
105;1.75;-1.9
105;1.75;-1.9
105;1.75;-1.9
110;3.5;-1.2
110;3.5;-1.2
120;8.5;0.2
120;8.5;0.2
130;7.7307E-13;-1.5
130;0;-1.5
130;1.0002E-12;-1.5
140;5.5;-1.033333333
140;5.5;-1.033333333
140;5.5;-1.033333333
145;4.25;-0.8
145;4.25;-0.8
145;4.25;-0.8
160;0.5;-0.8
160;0.5;-0.8
160;0.5;-0.8
165;3;1.3
165;3;1.3
165;3;1.3
170;5.5;0.6
170;5.5;0.6
170;5.5;0.6
175;6.25;-0.1
175;6.25;-0.1
175;6.25;-0.1
180;7;0.1
180;7;0.1
180;7;0.1
190;2.5;0.5
190;2.5;0.5
190;2.5;0.5
200;7.5;0.9
200;7.5;0.9
210;6;0.02
210;6;0.02
210;6;0.02
220;8.2;-0.86
220;8.2;-0.86
225;4.35;-1.3
225;4.35;-1.3
225;4.35;-1.3
230;0.5;-0.2
230;0.5;-0.2
235;1;0.9
235;1;0.9
240;1.5;0.628571429
240;1.5;0.628571429
250;6.4;0.085714286
250;6.4;0.085714286
260;5.5;-0.457142857
260;5.5;-0.457142857
260;5.5;-0.457142857
270;11;-1
270;11;-1
270;11;-1
280;1.5;-0.7
280;1.5;-0.7
280;1.5;-0.7
290;10;-0.4
290;10;-0.4
290;10;-0.4
300;9.5;-0.1
300;9.5;-0.1
300;9.5;-0.1
310;8;-0.58
310;8;-0.58
310;8;-0.58
320;1.5;-1.06
320;1.5;-1.06
320;1.5;-1.06
325;3;-1.3
325;3;-1.3
325;3;-1.3
330;4.5;-0.8
330;4.5;-0.8
330;4.5;-0.8
340;4;0.2
340;4;0.2
340;4;0.2
345;5.75;0.7
345;5.75;0.7
345;5.75;0.7
350;7.5;0.033333333
350;7.5;0.033333333
350;7.5;0.033333333
360;9;-1.3
360;9;-1.3
360;9;-1.3
370;4.5;-0.925
370;4.5;-0.925
370;4.5;-0.925
380;5;-0.55
380;5;-0.55
380;5;-0.55
390;4.5;-0.175
390;4.5;-0.175
390;4.5;-0.175
400;7.5;0.2
400;7.5;0.2
410;4.5;-0.55
410;4.5;-0.55
420;0.5;-1.3
420;0.5;-1.3
420;0.5;-1.3
430;8.5;-0.633333333
430;8.5;-0.633333333
440;2;0.033333333
440;2;0.033333333
440;2;0.033333333
450;4.5;0.7
450;4.5;0.7
460;7;-1.1
460;7;-1.1
460;7;-1.1
465;5.25;-2
465;5.25;-2
470;3.5;-1.633333333
470;3.5;-1.633333333
470;3.5;-1.633333333
480;4;-0.9
480;4;-2
490;3;-1.566666667
490;3;-1.566666667
500;7;-1.133333333
500;7;-1.133333333
500;7;-1.133333333
510;5.5;-0.7
510;5.5;0.4
510;5.5;0.4
520;7.5;-0.7
520;7.5;-0.7
520;7.5;-0.7
530;3.5;-0.166666667
530;3.5;-0.166666667
530;3.5;-0.166666667
535;4;0.1
535;4;-1.3
535;4;-1.3
540;4.5;-1.1
540;4.5;-1.1
540;4.5;-1.1
550;1;-0.7
550;1;-0.7
550;1;-0.7
560;4.5;-0.3
560;4.5;2.4
560;4.5;2.4
570;0.5;1.96
570;0.5;1.96
570;0.5;1.96
580;6.5;1.52
580;6.5;1.52
580;6.5;1.52
585;3.25;1.3
585;3.25;-0.1
585;3.25;-0.1
590;4.72937E-12;0.275
590;0;0.275
590;2.91056E-12;0.275
600;4;1.025
600;4;1.025
605;4.75;1.4
605;4.75;-1.2
605;4.75;-1.2
610;5.5;-0.55
610;5.5;-0.55
