time;Wind Speed;Wind Direction
0;1.2;0
20;6.4;0
20;6.4;0
20;6.4;0
40;12.2;0
40;12.2;0
45;9.2;0
45;9.2;0
70;14.2;0
70;14.2;0
70;14.2;0
80;9.6;0
80;8.4;0
85;6.8;0
85;6.8;0
90;10.6;0
90;10.6;0
105;9;0
105;9;0
105;9;0
120;6.8;0
120;6.8;0
120;6.8;0
130;10.4;0
130;10.4;0
130;10.4;0
140;10;0
140;8.4;0
140;8.4;0
160;6.2;0
160;7.8;0
160;7.8;0
165;6.2;0
165;8.8;0
165;8.8;0
190;13;0
190;8.8;0
218.8;5.728;0
220;5.6;0
220;9.4;0
235;12.6;0
235;10.4;0
235;10.4;0
255;10.2;0
255;7.8;0
275;4.2;0
275;9.2;0
275;9.2;0
295;12.2;0
295;6;0
295;6;0
320;4.2;0
320;7.8;0
320;7.8;0
340;6.6;0
340;6.6;0
340;6.6;0
365;9.4;0
365;9.4;0
380;7.4;0
380;7.4;0
380;7.4;0
400;5.8;0
400;5.8;0
420;8.8;0
420;11.4;0
448.8;4.104;0
450;3.8;0
450;6.8;0
450;6.8;0
478.8;6.8;0
480;6.8;0
480;11.6;0
480;11.6;0
505;10.4;0
505;10.4;0
520;7.4;0
520;10;0
520;10;0
540;10.8;0
540;6.4;0
540;6.4;0
550;5.4;0
550;5.8;0
550;5.8;0
575;7.2;0
575;8.6;0
575;8.6;0
595;9.4;0
595;13.4;0
623.8;6.488;0
625;6.2;0
625;8.4;0
625;8.4;0
653.8;6.864;0
655;6.8;0
655;9.4;0
655;9.4;0
680;10.6;0
680;8;0
695;7.8;0
695;7.8;0
710;12.2;0
710;7.4;0
710;7.4;0
730;9.8;0
730;14.6;0
730;14.6;0
750;11.6;0
750;15.2;0
775;8.4;0
775;12.4;0
790;8.6;0
790;8.6;0
790;8.6;0
810;8.6;0
810;11;0
810;11;0
830;11;0
830;15;0
830;15;0
855;12.4;0
855;10.8;0
855;10.8;0
883.8;10.032;0
885;10;0
885;9.8;0
885;9.8;0
910;11.6;0
910;13.4;0
920;11.8;0
920;11.8;0
940;11.2;0
940;7.8;0
940;7.8;0
965;10.8;0
965;14.2;0
965;14.2;0
985;11;0
985;7;0
985;7;0
1010;9.4;0
1010;13.4;0
1010;13.4;0
1035;11.2;0
1035;8.2;0
1035;8.2;0
1063.8;9.845714286;0
1070;10.2;0
1070;8;0
1070;8;0
1095;9.4;0
1095;12.8;0
1095;12.8;0
1110;13.8;0
1110;16;0
1110;16;0
1125;12.2;0
1125;10;0
1125;10;0
1150;14;0
1150;12.4;0
1150;12.4;0
1178.8;11.3632;0
1200;10.6;0
1200;14.8;0
1220;12.8;0
1220;8.6;0
1220;8.6;0
1235;9.4;0
1235;11.2;0
1235;11.2;0
1250;15.6;0
1250;13.6;0
1250;13.6;0
1275;12.2;0
1275;13.2;0
1275;13.2;0
1295;14.2;0
1295;9.2;0
1295;9.2;0
1315;12.8;0
1315;15;0
1315;15;0
1334;14.4;0
1334;11.6;0
1334;11.6;0
1362.8;12.72390244;0
1375;13.2;0
1375;14.2;0
1375;14.2;0
1403.8;13.048;0
1410;12.8;0
1410;12.8;0
1410;12.8;0
1420;10.8;0
1420;10.8;0
1420;10.8;0
1440;9;0
