time;Wind Speed;Wind Direction
0;16.2;-3
4;16.2;-2.36
4;16.2;-2.36
4;16.2;-2.36
32.8;16.872;2.248
50;17.27333333;5
50;17.27333333;-3
50;17.27333333;-3
64;17.6;-0.76
64;17.6;-0.76
64;17.6;-0.76
92.8;15.584;3.848
100;15.08;5
100;15.08;-3
124;13.4;0.84
124;13.4;0.84
124;13.4;0.84
150;14.78666667;5
150;14.78666667;-3
150;14.78666667;-3
178.8;16.32266667;1.608
184;16.6;2.44
184;16.6;2.44
200;16.44;5
200;16.44;-3
228.8;16.152;1.608
244;16;4.04
244;16;4.04
250;15.84;5
250;15.84;-3
278.8;15.072;1.608
300;14.50666667;5
300;14.50666667;-3
300;14.50666667;-3
304;14.4;-2.36
304;14.4;-2.36
332.8;14.784;2.248
350;15.01333333;5
350;15.01333333;-3
350;15.01333333;-3
364;15.2;-0.76
364;15.2;-0.76
364;15.2;-0.76
392.8;15.584;3.848
400;15.68;5
400;15.68;-3
424;16;0.84
424;16;0.84
424;16;0.84
450;17.47333333;5
450;17.47333333;-3
450;17.47333333;-3
478.8;19.10533333;1.608
484;19.4;2.44
484;19.4;2.44
484;19.4;2.44
500;19.13333333;5
500;19.13333333;-3
528.8;18.65333333;1.608
544;18.4;4.04
544;18.4;4.04
544;18.4;4.04
550;18;5
550;18;-3
550;18;-3
578.8;16.08;1.608
600;14.66666667;5
600;14.66666667;-3
604;14.4;-2.36
604;14.4;-2.36
604;14.4;-2.36
632.8;16.512;2.248
650;17.77333333;5
650;17.77333333;-3
650;17.77333333;-3
664;18.8;-0.76
664;18.8;-0.76
692.8;17.648;3.848
700;17.36;5
700;17.36;-3
700;17.36;-3
724;16.4;0.84
724;16.4;0.84
724;16.4;0.84
750;16.05333333;5
750;16.05333333;-3
778.8;15.66933333;1.608
784;15.6;2.44
784;15.6;2.44
784;15.6;2.44
800;15.81333333;5
800;15.81333333;-3
800;15.81333333;-3
828.8;16.19733333;1.608
844;16.4;4.04
844;16.4;4.04
844;16.4;4.04
850;16.32;5
850;16.32;-3
878.8;15.936;1.608
900;15.65333333;5
900;15.65333333;-3
904;15.6;-2.36
904;15.6;-2.36
932.8;15.6;2.248
950;15.6;5
950;15.6;-3
950;15.6;-3
964;15.6;-0.76
964;15.6;-0.76
992.8;16.368;3.848
1000;16.56;5
1000;16.56;-3
1024;17.2;0.84
1024;17.2;0.84
1024;17.2;0.84
1050;17.2;5
1050;17.2;-3
1050;17.2;-3
1078.8;17.2;1.608
1100;17.2;5
1100;17.2;-3
1100;17.2;-3
1128.8;17.2;1.608
1144;17.2;4.04
1144;17.2;4.04
1144;17.2;4.04
1150;17.12;5
1150;17.12;-3
1150;17.12;-3
1178.8;16.736;1.608
1200;16.45333333;5
1200;16.45333333;-3
1204;16.4;-2.36
1204;16.4;-2.36
1204;16.4;-2.36
1232.8;15.536;2.248
1250;15.02;5
1250;15.02;-3
1250;15.02;-3
1264;14.6;-0.76
1264;14.6;-0.76
1292.8;15.464;3.848
1300;15.68;5
1300;15.68;-3
1300;15.68;-3
1324;16.4;0.84
1324;16.4;0.84
1324;16.4;0.84
1350;16.83333333;5
1350;16.83333333;-3
1350;16.83333333;-3
1378.8;17.31333333;1.608
1384;17.4;2.44
1384;17.4;2.44
1384;17.4;2.44
1400;17.05714286;5
1400;17.05714286;-3
1428.8;16.44;1.608
1440;16.2;3.4
